         210351 function calls (209058 primitive calls) in 557.812 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      200    0.003    0.000    0.047    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\contextlib.py:76(inner)
5174/5026    0.002    0.000    0.003    0.000 {built-in method builtins.len}
        2    0.002    0.001    0.002    0.001 {method 'cumsum' of 'numpy.ndarray' objects}
        6    0.002    0.000    0.155    0.026 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:495(_validate_data)
      414    0.002    0.000    0.006    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\_ufunc_config.py:32(seterr)
     5918    0.002    0.000    0.002    0.000 {method 'endswith' of 'str' objects}
      300    0.002    0.000    0.009    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\fixes.py:97(delayed)
        1    0.002    0.002  491.608  491.608 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\ensemble\_forest.py:301(fit)
     1240    0.002    0.000    0.002    0.000 {built-in method _abc._abc_subclasscheck}
     1100    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\copy.py:128(deepcopy)
      305    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\_parallel_backends.py:280(__init__)
      206    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:257(_num_features)
    36/35    0.002    0.000    0.037    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\series.py:323(__init__)
        3    0.002    0.001    0.014    0.005 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:639(__init__)
     6000    0.002    0.000    0.002    0.000 {method 'isidentifier' of 'str' objects}
       12    0.002    0.000    0.008    0.001 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\indexes\base.py:2432(is_object)
      300    0.002    0.000    0.007    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\queue.py:122(put)
        2    0.002    0.001    0.002    0.001 {built-in method pandas._libs.lib.is_datetime_array}
        4    0.002    0.001    0.002    0.001 {pandas._libs.algos.take_1d_int64_int64}
      300    0.002    0.000  556.534    1.855 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\joblib\parallel.py:262(<listcomp>)
      200    0.002    0.000    0.039    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\base.py:218(set_params)
       63    0.002    0.000    0.004    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\pandas\core\dtypes\common.py:161(is_object_dtype)
       11    0.002    0.000    0.002    0.000 {method 'sort' of 'numpy.ndarray' objects}
      215    0.002    0.000    0.370    0.002 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\numpy\core\fromnumeric.py:2160(sum)
       11    0.002    0.000    0.045    0.004 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\site-packages\sklearn\utils\validation.py:373(check_consistent_length)
      600    0.002    0.000    0.003    0.000 C:\Users\aggel\AppData\Local\Programs\Python\Python39\lib\threading.py:351(notify)
      919    0.002    0.000    0.002    0.000 {method 'items' of 'dict' objects}
